순위,종목 코드,매수 확률
1,'117730,0.49905192852020264
2,'079810,0.4990413784980774
3,'037330,0.4990270137786865
4,'069330,0.4990221858024597
5,'051360,0.4990164339542389
6,'297890,0.499013751745224
7,'347770,0.499005526304245
8,'054040,0.4990027844905853
9,'078150,0.49900004267692566
10,'321260,0.4989960789680481
11,'108230,0.49899476766586304
12,'213420,0.4989943504333496
13,'110990,0.4989904463291168
14,'123860,0.49896878004074097
15,'109740,0.4989648461341858
16,'083500,0.49895957112312317
17,'046890,0.49895551800727844
18,'038060,0.4989500641822815
19,'052330,0.49894699454307556
20,'041520,0.4989417493343353
21,'049950,0.49893510341644287
22,'037400,0.49893322587013245
23,'052420,0.49893131852149963
24,'149950,0.4989311993122101
25,'073110,0.49892479181289673
26,'027580,0.4989222288131714
27,'068790,0.49892187118530273
28,'272110,0.49891990423202515
29,'238490,0.4989188611507416
30,'131760,0.49891844391822815
31,'256630,0.49891456961631775
32,'290690,0.4989142119884491
33,'094970,0.49891215562820435
34,'141000,0.49891072511672974
35,'155650,0.4989103078842163
36,'265520,0.498909592628479
37,'063760,0.49890923500061035
38,'177350,0.4989079236984253
39,'059100,0.49890533089637756
40,'083930,0.49890366196632385
41,'049120,0.49890199303627014
42,'082850,0.4989018142223358
43,'170920,0.49890151619911194
44,'272290,0.4989010989665985
45,'290090,0.49890080094337463
46,'307180,0.49889665842056274
47,'153490,0.4988965392112732
48,'034220,0.498896062374115
49,'351320,0.4988948106765747
50,'250930,0.49889427423477173
51,'011690,0.498893678188324
52,'096870,0.49889272451400757
53,'187870,0.49889108538627625
54,'020760,0.4988878667354584
55,'256940,0.4988870322704315
56,'239890,0.4988863170146942
57,'067770,0.49888479709625244
58,'290520,0.49888402223587036
59,'036090,0.4988834261894226
60,'317330,0.49888330698013306
61,'092190,0.4988832473754883
62,'040910,0.4988819360733032
63,'001210,0.49888157844543457
64,'143540,0.4988797903060913
65,'080000,0.49887943267822266
66,'056700,0.4988788664340973
67,'121850,0.4988785684108734
68,'171090,0.49887850880622864
69,'371950,0.4988768398761749
70,'255440,0.4988758862018585
71,'137940,0.49887385964393616
72,'036170,0.4988735020160675
73,'088130,0.4988730251789093
74,'090470,0.4988727271556854
75,'137080,0.4988710284233093
76,'009310,0.4988686442375183
76,'108320,0.4988686442375183
78,'095500,0.4988681674003601
79,'079950,0.4988676905632019
