순위,종목 코드,매도 확률
1,'256630,0.5110584497451782
2,'027580,0.5100002288818359
3,'082850,0.509904682636261
4,'213420,0.5091053247451782
5,'131760,0.5087970495223999
6,'059100,0.5086615085601807
7,'265520,0.5086147785186768
8,'290690,0.5085657238960266
9,'272110,0.508510947227478
10,'108230,0.5084202885627747
11,'149950,0.5084089636802673
12,'052330,0.5083438754081726
13,'038060,0.5083074569702148
14,'049120,0.508088231086731
15,'083500,0.5080540776252747
16,'068790,0.5079139471054077
17,'052420,0.5078922510147095
18,'054040,0.5077459216117859
19,'001210,0.5075920820236206
20,'170920,0.5073915123939514
21,'034220,0.5073806047439575
22,'020760,0.5073537826538086
23,'371950,0.5073390603065491
24,'096870,0.5073102116584778
25,'036090,0.5073050856590271
26,'094970,0.5073022246360779
27,'080000,0.5072342753410339
28,'092190,0.50721275806427
29,'090470,0.5071487426757812
30,'056700,0.5071266889572144
31,'155650,0.5071212649345398
32,'238490,0.5070940256118774
33,'040910,0.5070191621780396
34,'137940,0.5068523287773132
35,'137080,0.5068509578704834
36,'121850,0.506804883480072
37,'049950,0.5067946910858154
38,'143540,0.5067662000656128
39,'079950,0.5067590475082397
40,'088130,0.5067362189292908
41,'256940,0.5067236423492432
42,'009310,0.506679117679596
43,'290520,0.5066441893577576
44,'063760,0.5066133141517639
45,'073110,0.5065987706184387
46,'083930,0.5064486861228943
47,'153490,0.5064305067062378
48,'036170,0.5063892006874084
49,'171090,0.5063857436180115
50,'078150,0.5061182975769043
51,'351320,0.5061178803443909
52,'317330,0.5060077905654907
53,'255440,0.5059229731559753
54,'290090,0.5056945085525513
55,'117730,0.5056361556053162
56,'250930,0.505596935749054
57,'067770,0.5055890083312988
58,'095500,0.5055716633796692
59,'187870,0.5055075287818909
60,'239890,0.5054338574409485
61,'011690,0.5053548216819763
62,'037400,0.5053091049194336
63,'347770,0.5051668882369995
64,'109740,0.5051542520523071
65,'272290,0.5051273703575134
66,'307180,0.5049622058868408
67,'110990,0.5049248933792114
68,'108320,0.5048218965530396
69,'051360,0.5045318603515625
70,'321260,0.5042756795883179
71,'141000,0.5042252540588379
72,'069330,0.5039055347442627
73,'123860,0.5038608312606812
74,'046890,0.5036248564720154
75,'037330,0.5029944181442261
76,'079810,0.5028117895126343
77,'297890,0.5022422671318054
78,'177350,0.5017226934432983
79,'041520,0.501239538192749
