순위,종목 코드,매도 확률
1,'204210,0.5031673908233643
2,'123890,0.5027905106544495
3,'357120,0.5024198889732361
4,'015020,0.5024069547653198
5,'145270,0.5024028420448303
6,'404990,0.5023816227912903
7,'334890,0.5023725628852844
8,'365550,0.5023478269577026
9,'357250,0.5022720694541931
10,'088260,0.5022308230400085
11,'034830,0.5021945834159851
12,'417310,0.5021899342536926
13,'210980,0.5020841956138611
14,'350520,0.5020633935928345
15,'293940,0.5020485520362854
16,'357430,0.5019626617431641
17,'396690,0.5019437074661255
18,'377190,0.5019294619560242
19,'348950,0.5018408298492432
20,'338100,0.5018105506896973
21,'330590,0.5017077326774597
22,'400760,0.5016822814941406
23,'395400,0.5014496445655823
24,'432320,0.5011753439903259
